,China,France,India,Russia,South Korea,US,UK
1990,874,225,306,882,94,1910,206
1991,848,237,318,872,101,1925,213
1992,877,234,330,800,111,1964,212
1993,929,238,338,756,125,1998,214
1994,973,231,351,659,133,2036,221
1995,1045,240,371,639,146,2063,217
1996,1074,250,383,634,158,2108,226
1997,1073,244,398,606,172,2130,219
1998,1078,251,407,591,158,2156,221
1999,1099,252,431,608,174,2206,222
2000,1130,255,441,619,190,2269,223
2001,1168,260,448,625,193,2226,224
2002,1246,261,462,622,201,2256,220
2003,1420,267,474,645,206,2261,224
2004,1615,271,499,647,212,2308,222
2005,1782,272,514,651,214,2319,223
2006,1950,268,533,670,218,2297,219
2007,2099,265,568,672,227,2338,211
2008,2155,267,600,687,232,2278,208
2009,2297,255,666,646,234,2165,196
2010,2536,263,700,688,256,2218,203
2011,2723,254,734,721,267,2192,189
2012,2821,254,766,739,271,2152,194
2013,2912,255,778,719,272,2196,191
2014,2965,244,824,724,277,2217,180
2015,2994,248,837,709,283,2194,181
2016,2965,244,862,732,293,2172,179
2017,3051,244,897,773,302,2180,177
2018,3164,243,929,800,307,2258,176
