Name,Country,Date Connected,Year Connected,Decade total
APS-1 OBNINSK,Russia,1954,1954,1950
CALDER HALL-1,United Kingdom,1956,1956,1950
CALDER HALL-2,United Kingdom,1957,1957,1950
GE VALLECITOS,United States,1957,1957,1950
SHIPPINGPORT,United States,1957,1957,1950
CALDER HALL-3,United Kingdom,1958,1958,1950
CHAPELCROSS-1,United Kingdom,1959,1959,1950
CALDER HALL-4,United Kingdom,1959,1959,1950
G-2 (MARCOULE),France,1959,1959,1950
CHAPELCROSS-2,United Kingdom,1959,1959,1950
CHAPELCROSS-3,United Kingdom,1959,1959,1950
CHAPELCROSS-4,United Kingdom,1960,1960,1960
G-3 (MARCOULE),France,1960,1960,1960
DRESDEN-1,United States,1960,1960,1960
YANKEE NPS,United States,1960,1960,1960
BERKELEY-1,United Kingdom,1962,1962,1960
BERKELEY-2,United Kingdom,1962,1962,1960
BRADWELL-1,United Kingdom,1962,1962,1960
BRADWELL-2,United Kingdom,1962,1962,1960
INDIAN POINT-1,United States,1962,1962,1960
DOUNREAY DFR,United Kingdom,1962,1962,1960
BIG ROCK POINT,United States,1962,1962,1960
WINDSCALE AGR,United Kingdom,1963,1963,1960
HUMBOLDT BAY,United States,1963,1963,1960
CHINON A-1,France,1963,1963,1960
PIQUA,United States,1963,1963,1960
ELK RIVER,United States,1963,1963,1960
HALLAM,United States,1963,1963,1960
CVTR,United States,1963,1963,1960
HUNTERSTON A-1,United Kingdom,1964,1964,1960
BELOYARSK-1,Russia,1964,1964,1960
HUNTERSTON A-2,United Kingdom,1964,1964,1960
BONUS,United States,1964,1964,1960
NOVOVORONEZH-1,Russia,1964,1964,1960
TRAWSFYNYDD-1,United Kingdom,1965,1965,1960
TRAWSFYNYDD-2,United Kingdom,1965,1965,1960
HINKLEY POINT A-1,United Kingdom,1965,1965,1960
CHINON A-2,France,1965,1965,1960
HINKLEY POINT A-2,United Kingdom,1965,1965,1960
DUNGENESS A-1,United Kingdom,1965,1965,1960
DUNGENESS A-2,United Kingdom,1965,1965,1960
SIZEWELL A-1,United Kingdom,1966,1966,1960
SIZEWELL A-2,United Kingdom,1966,1966,1960
PATHFINDER,United States,1966,1966,1960
CHINON A-3,France,1966,1966,1960
FERMI-1,United States,1966,1966,1960
PEACH BOTTOM-1,United States,1967,1967,1960
SAXTON,United States,1967,1967,1960
CHOOZ-A (ARDENNES),France,1967,1967,1960
EL-4 (MONTS D'ARREE),France,1967,1967,1960
SAN ONOFRE-1,United States,1967,1967,1960
HADDAM NECK,United States,1967,1967,1960
OLDBURY A-1,United Kingdom,1967,1967,1960
WINFRITH SGHWR,United Kingdom,1967,1967,1960
BELOYARSK-2,Russia,1967,1967,1960
OLDBURY A-2,United Kingdom,1968,1968,1960
LACROSSE,United States,1968,1968,1960
ST. LAURENT A-1,France,1969,1969,1960
TARAPUR-1,India,1969,1969,1960
TARAPUR-2,India,1969,1969,1960
OYSTER CREEK,United States,1969,1969,1960
NINE MILE POINT-1,United States,1969,1969,1960
GINNA,United States,1969,1969,1960
NOVOVORONEZH-2,Russia,1969,1969,1960
DRESDEN-2,United States,1970,1970,1970
ROBINSON-2,United States,1970,1970,1970
POINT BEACH-1,United States,1970,1970,1970
MILLSTONE-1,United States,1970,1970,1970
WYLFA-1,United Kingdom,1971,1971,1970
MONTICELLO,United States,1971,1971,1970
WYLFA-2,United Kingdom,1971,1971,1970
DRESDEN-3,United States,1971,1971,1970
ST. LAURENT A-2,France,1971,1971,1970
KANUPP-1,Pakistan,1971,1971,1970
NOVOVORONEZH-3,Russia,1971,1971,1970
