Name,Country,Year Connected
BERKELEY-1,United Kingdom,1962
BERKELEY-2,United Kingdom,1962
BRADWELL-1,United Kingdom,1962
BRADWELL-2,United Kingdom,1962
CALDER HALL-1,United Kingdom,1956
CALDER HALL-2,United Kingdom,1957
CALDER HALL-3,United Kingdom,1958
CALDER HALL-4,United Kingdom,1959
CHAPELCROSS-1,United Kingdom,1959
CHAPELCROSS-2,United Kingdom,1959
CHAPELCROSS-3,United Kingdom,1959
CHAPELCROSS-4,United Kingdom,1960
DOUNREAY DFR,United Kingdom,1962
DOUNREAY PFR,United Kingdom,1975
DUNGENESS A-1,United Kingdom,1965
DUNGENESS A-2,United Kingdom,1965
DUNGENESS B-1,United Kingdom,1983
DUNGENESS B-2,United Kingdom,1985
HARTLEPOOL A-1,United Kingdom,1983
HARTLEPOOL A-2,United Kingdom,1984
HEYSHAM A-1,United Kingdom,1983
HEYSHAM A-2,United Kingdom,1984
HEYSHAM B-1,United Kingdom,1988
HEYSHAM B-2,United Kingdom,1988
HINKLEY POINT A-1,United Kingdom,1965
HINKLEY POINT A-2,United Kingdom,1965
HINKLEY POINT B-1,United Kingdom,1976
HINKLEY POINT B-2,United Kingdom,1976
HUNTERSTON A-1,United Kingdom,1964
HUNTERSTON A-2,United Kingdom,1964
HUNTERSTON B-1,United Kingdom,1976
HUNTERSTON B-2,United Kingdom,1977
OLDBURY A-1,United Kingdom,1967
OLDBURY A-2,United Kingdom,1968
SIZEWELL A-1,United Kingdom,1966
SIZEWELL A-2,United Kingdom,1966
SIZEWELL B,United Kingdom,1995
TORNESS-1,United Kingdom,1988
TORNESS-2,United Kingdom,1989
TRAWSFYNYDD-1,United Kingdom,1965
TRAWSFYNYDD-2,United Kingdom,1965
WINDSCALE AGR,United Kingdom,1963
WINFRITH SGHWR,United Kingdom,1967
WYLFA-1,United Kingdom,1971
WYLFA-2,United Kingdom,1971
CEFR,China,2011
CHANGJIANG-1,China,2015
CHANGJIANG-2,China,2016
DAYA BAY-1,China,1993
DAYA BAY-2,China,1994
FANGCHENGGANG-1,China,2015
FANGCHENGGANG-2,China,2016
FANGJIASHAN-1,China,2014
FANGJIASHAN-2,China,2015
FUQING-1,China,2014
FUQING-2,China,2015
FUQING-3,China,2016
FUQING-4,China,2017
HAIYANG-1,China,2018
HAIYANG-2,China,2018
HONGYANHE-1,China,2013
HONGYANHE-2,China,2013
HONGYANHE-3,China,2015
HONGYANHE-4,China,2016
