,World,France,United Kingdom,Russia,United States,China,India,South Korea
1990,8763,225,206,882,1910,874,306,94
1991,8816,237,213,872,1925,848,318,101
1992,8830,234,212,800,1964,877,330,111
1993,8922,238,214,756,1998,929,338,125
1994,8994,231,221,659,2036,973,351,133
1995,9215,240,217,639,2063,1045,371,146
1996,9448,250,226,634,2108,1074,383,158
1997,9541,244,219,606,2130,1073,398,172
1998,9597,251,221,591,2156,1078,407,158
1999,9790,252,222,608,2206,1099,431,174
2000,10020,255,223,619,2269,1130,441,190
2001,10112,260,224,625,2226,1168,448,193
2002,10330,261,220,622,2256,1246,462,201
2003,10692,267,224,645,2261,1420,474,206
2004,11174,271,222,647,2308,1615,499,212
2005,11487,272,223,651,2319,1782,514,214
2006,11831,268,219,670,2297,1950,533,218
2007,12152,265,211,672,2338,2099,568,227
2008,12300,267,208,687,2278,2155,600,232
2009,12200,255,196,646,2165,2297,666,234
2010,12871,263,203,688,2218,2536,700,256
2011,13071,254,189,721,2192,2723,734,267
2012,13278,254,194,739,2152,2821,766,271
2013,13458,255,191,719,2196,2912,778,272
2014,13632,244,180,724,2217,2965,824,277
2015,13675,248,181,709,2194,2994,837,283
2016,13768,244,179,732,2172,2965,862,293
2017,14070,244,177,773,2180,3051,897,302
2018,14391,243,176,800,2258,3164,929,307
