country,year,month,day,date,height,type,yield,seismic,crater
usa,1961,9,15,1961.814286,402.03,UG-T,2.6,4.7,
usa,1961,12,13,1962.065714,219.15,UG-S,0.5,3.4,
usa,1962,1,9,1962.111429,302.33,UG-S,5.1,4.2,183
usa,1962,1,18,1962.137143,260.95,UG-S,6.4,4.5,184
usa,1962,2,19,1962.225714,150.08,UG-S,1.9,4.2,92
usa,1962,3,5,1962.271429,-30,UG-S,0.43,3.6,81
usa,1962,4,5,1962.357143,261.03,UG-S,10.6,4.3,164
usa,1962,5,12,1962.462857,434.04,UG-S,40,4.6,282
usa,1962,6,27,1962.591429,408.56,UG-S,67,4.9,297
usa,1962,7,6,1962.617143,-190,CR,104,4.4,390
usa,1962,7,13,1962.637143,413.31,UG-S,20,4.4,207
usa,1962,7,14,1962.64,3,AS-T,0.6,3.7,
usa,1962,7,27,1962.677143,150.27,UG-S,3.5,4.3,104
usa,1962,8,24,1962.754286,226.47,UG-S,5,4.4,150
usa,1962,8,24,1962.754286,206.03,UG-S,2.5,4.2,120
usa,1962,9,14,1962.811429,216.69,UG-S,5,4.4,155
usa,1962,10,5,1962.871429,493.78,UG-S,115,5.06,259
usa,1963,5,22,1963.491429,394.72,UG-S,20,4.84,260
usa,1963,6,5,1963.528571,242.41,UG-T,3.1,4.36,
usa,1963,9,13,1963.808571,-714.3,UG-S,249,5.8,490
usa,1963,9,27,1963.848571,329.55,UG-S,0.08,3,
usa,1963,9,27,1963.848571,150.27,UG-S,0.08,3,
usa,1963,10,16,1963.902857,548.03,UG-S,60,5.3,
usa,1963,10,26,1963.931429,-370,UG-S,12,4.9,
usa,1964,1,16,1964.131429,490.42,UG-S,38,5.2,317
usa,1964,1,23,1964.151429,264.69,UG-S,10.5,4.2,293
usa,1964,1,30,1964.171429,180.44,UG-S,2,4.1,30
usa,1964,2,13,1964.208571,226.77,UG-S,1.5,4,
usa,1964,2,18,1964.222857,300.76,UG-S,5,4.4,180
usa,1964,2,20,1964.228571,492.56,UG-S,70,5.1,280
usa,1964,3,12,1964.291429,143.26,UG-S,0.2,3.3,
usa,1964,4,24,1964.411429,506.88,UG-S,38,5.2,386
usa,1964,4,29,1964.425714,261.92,UG-S,15,4.1,146
usa,1964,6,12,1964.548571,-192.6,UG-S,0.5,3.6,90
usa,1964,6,18,1964.565714,445.71,UG-S,0.15,3.2,
usa,1964,9,11,1964.802857,179.68,UG-S,0.2,3.3,
usa,1964,10,2,1964.862857,452.38,UG-S,12,4.89,
usa,1964,10,9,1964.882857,403.86,UG-S,38,4.8,145
usa,1964,10,22,1964.92,-830,UG-S,5.3,4.6,
usa,1964,11,5,1964.957143,402.95,UG-S,12,4.8,
usa,1964,12,5,1965.042857,-404.2,UG-S,20,4.8,226
usa,1965,1,29,1965.168571,210.65,UG-S,0.5,3.6,
usa,1965,2,18,1965.222857,179.22,UG-S,5,4.54,90
usa,1965,3,3,1965.265714,749.59,UG-S,51,5.33,200
usa,1965,3,20,1965.314286,143.52,UG-S,0.2,3.3,
usa,1965,3,26,1965.331429,536.75,UG-S,38,5.25,280
usa,1965,4,14,1965.382857,-85.34,CR,4.3,4.33,103
usa,1965,4,21,1965.402857,-304.8,UG-T,20,5,
usa,1965,4,22,1965.405714,140.74,UG-S,1,3.9,80
usa,1965,4,23,1965.408571,180.29,UG-S,0.6,3.7,
usa,1965,6,11,1965.545714,169.47,UG-S,0.5,3.6,
usa,1965,6,16,1965.56,-190.5,UG-S,4,4.48,137
usa,1965,7,23,1965.665714,530.96,UG-S,67,5.4,320
usa,1965,8,21,1965.745714,210.31,UG-S,0.25,3.4,
usa,1965,10,29,1965.94,-700,UG-S,80,6.1,
usa,1965,11,23,1966.008571,198.12,UG-S,0.5,3.6,30
usa,1965,12,3,1966.037143,681.53,UG-S,120,5.62,240
usa,1965,12,16,1966.074286,500.41,UG-S,51,5.3,391
usa,1966,1,18,1966.137143,561.48,UG-S,38,5.2,
usa,1966,1,22,1966.148571,213.36,UG-S,0.15,3.2,
usa,1966,2,3,1966.18,270.05,UG-S,3.5,4.3,79
usa,1966,2,24,1966.24,671.69,UG-S,19,5,
usa,1966,3,5,1966.271429,405.38,UG-T,2,4.11,
usa,1966,4,6,1966.36,225.34,UG-S,5,4.45,118
usa,1966,4,14,1966.382857,544.25,UG-S,70,5.4,
usa,1966,4,23,1966.408571,167.64,UG-S,1.4,3.3,
usa,1966,4,25,1966.414286,295.66,UG-S,5,4.51,
usa,1966,5,4,1966.44,196.76,UG-S,20,5.5,58
usa,1966,5,5,1966.442857,304.97,UG-S,12,4.4,167
usa,1966,5,6,1966.445714,666.75,UG-S,73,5.5,
usa,1966,5,12,1966.462857,247.19,UG-S,10,4.3,90
usa,1966,5,13,1966.465714,548.72,UG-S,120,5.6,365
usa,1966,5,19,1966.482857,670.77,UG-S,200,5.9,370
usa,1966,5,27,1966.505714,337.06,UG-S,22,5.1,291
usa,1966,6,2,1966.52,462.69,UG-S,62,5.6,
usa,1966,6,3,1966.522857,560.68,UG-S,160,5.7,415
usa,1966,6,30,1966.6,-819.3,UG-S,365,6.1,400
usa,1966,9,12,1966.805714,255.12,UG-S,7.8,4.6,
usa,1966,9,29,1966.854286,228.63,UG-S,4,4.1,80
usa,1966,12,13,1967.065714,240.27,UG-S,1,3.9,
usa,1966,12,13,1967.065714,243.84,UG-S,7,4.6,60
usa,1966,12,20,1967.085714,214.63,UG-S,870,6.3,52
usa,1967,1,18,1967.137143,-152.1,UG-S,0.15,3.2,
usa,1967,1,19,1967.14,363.78,UG-S,39,5.4,150
usa,1967,1,20,1967.142857,559.72,UG-S,41,5.3,11
usa,1967,1,26,1967.16,197.78,UG-S,0.8,3.8,
usa,1967,2,8,1967.194286,257.25,UG-S,11,4.8,79
usa,1967,2,23,1967.237143,299.11,UG-S,4,4.4,171
usa,1967,2,23,1967.237143,731.52,UG-S,200,5.8,275
usa,1967,3,2,1967.262857,271.27,UG-S,2.5,4.2,140
usa,1967,3,3,1967.265714,179.55,UG-S,0.6,3.7,80
usa,1967,4,7,1967.362857,271.06,UG-S,1,3.9,155
usa,1967,4,21,1967.402857,240.45,UG-S,7,4.3,120
usa,1967,4,27,1967.42,219.29,UG-S,0.8,3.8,35
usa,1967,5,10,1967.457143,499.63,UG-S,22,5,56
usa,1967,5,20,1967.485714,746.46,UG-S,250,5.9,341
usa,1967,5,23,1967.494286,977.39,UG-S,155,5.7,
usa,1967,5,26,1967.502857,630.63,UG-S,76,5.54,
usa,1967,6,26,1967.588571,-374.9,UG-T,20,5.1,
usa,1967,6,29,1967.597143,310.24,UG-S,10,4.6,165
usa,1967,7,27,1967.677143,483.72,UG-S,22,5,271
usa,1967,8,4,1967.697143,240.76,UG-S,1.5,4,120
usa,1967,8,18,1967.737143,332.02,UG-S,18,4.6,159
usa,1967,8,24,1967.754286,227.69,UG-S,0.8,3.8,50
usa,1967,8,31,1967.774286,435.86,UG-T,20,5,
usa,1967,9,7,1967.791429,-520.6,UG-S,22,5,352
usa,1967,9,27,1967.848571,-667,UG-S,160,5.7,295
usa,1967,10,18,1967.908571,-714.2,UG-S,160,5.7,299
usa,1967,11,8,1967.965714,667.12,UG-S,20,5.1,
usa,1967,12,6,1968.045714,195.01,UG-S,0.2,3.3,
usa,1967,12,10,1968.057143,-1290,UG-S,29,5.1,
usa,1968,1,19,1968.14,-980,UG-S,1000,6.3,
usa,1968,2,21,1968.231429,-644.8,UG-S,200,5.8,335
usa,1968,2,29,1968.254286,410.06,UG-T,20,5,
usa,1968,3,22,1968.32,667.76,UG-S,120,5.6,284
usa,1968,4,10,1968.371429,381.81,UG-S,20,4.6,150
usa,1968,4,18,1968.394286,493.47,UG-S,20,4.9,210
usa,1968,4,23,1968.408571,-228.6,UG-S,6,3.89,
usa,1968,4,26,1968.417143,160.89,UG-S,1300,6.3,300
usa,1968,5,3,1968.437143,240.53,UG-S,2,4.1,120
usa,1968,5,8,1968.451429,181.76,UG-S,1,3.9,
usa,1968,5,17,1968.477143,472.65,UG-S,20,4.7,235
usa,1968,6,5,1968.528571,238.09,UG-S,1.5,4,90
usa,1968,6,15,1968.557143,683.28,UG-S,200,5.9,167
usa,1968,6,28,1968.594286,607.02,UG-S,58,5.3,
usa,1968,7,17,1968.648571,240.29,UG-S,1.5,4,
usa,1968,8,9,1968.711429,178.46,UG-S,0.35,3.5,30
usa,1968,8,15,1968.728571,199.72,UG-S,1,3.9,
usa,1968,8,29,1968.768571,728.88,UG-S,200,5.9,
usa,1968,9,6,1968.788571,581.99,UG-S,120,5.6,300
usa,1968,9,12,1968.805714,-331.8,UG-S,20,5.8,120
usa,1968,9,17,1968.82,467.87,UG-S,31,5.1,208
usa,1968,9,24,1968.84,344.42,UG-T,20,5,
usa,1968,10,10,1968.885714,194.92,UG-S,1,3.9,
usa,1968,10,29,1968.94,198.46,UG-S,0.25,3.4,
usa,1968,10,31,1968.945714,148.31,UG-S,1,3.9,
usa,1968,11,4,1968.954286,-603.5,UG-S,22,5,120
usa,1968,11,15,1968.985714,240.62,UG-S,1,3.9,
usa,1968,11,20,1969,307.94,UG-T,16,4.9,
usa,1968,12,8,1969.051429,111.22,CR,30,4.8,
usa,1968,12,12,1969.062857,240.58,UG-S,1,3.9,100
usa,1968,12,19,1969.082857,402.08,UG-S,1150,6.3,
usa,1969,1,15,1969.128571,518.16,UG-S,40,5.3,
usa,1969,1,22,1969.148571,240.75,UG-S,2,4.1,
usa,1969,1,30,1969.171429,454.06,UG-S,20,4.9,268
usa,1969,2,4,1969.182857,240.63,UG-S,0.6,3.7,
usa,1969,3,18,1969.308571,194.77,UG-S,0.8,3.8,70
usa,1969,3,20,1969.314286,304.13,UG-S,10,4.6,162
usa,1969,3,21,1969.317143,464.82,UG-S,26,4.9,120
usa,1969,4,24,1969.411429,-181.3,UG-S,0.8,3.8,50
usa,1969,4,30,1969.428571,560.47,UG-S,38,5.2,
usa,1969,4,30,1969.428571,557.73,UG-S,51,5.3,
usa,1969,5,7,1969.448571,598.75,UG-S,90,5.8,137
usa,1969,5,15,1969.471429,240.51,UG-S,2,4.1,
usa,1969,5,27,1969.505714,514.72,UG-S,22,5,306
usa,1969,6,12,1969.548571,-303,UG-S,10,4.5,158
usa,1969,6,26,1969.588571,198.12,UG-S,2,4.1,
usa,1969,7,16,1969.645714,410.26,UG-S,20,4.7,150
usa,1969,7,16,1969.645714,548.64,UG-S,120,5.6,274
usa,1969,8,27,1969.762857,238.87,UG-S,10,4.7,123
usa,1969,9,10,1969.8,-2570,UG-S,40,5.3,
usa,1969,9,12,1969.805714,264.26,UG-S,5,4.5,69
usa,1969,9,16,1969.817143,158.24,UG-S,800,6.2,
usa,1969,9,20,1969.828571,192.02,UG-S,0.8,3.8,50
usa,1969,10,2,1969.862857,-1220,UG-S,1000,6.4,610
usa,1969,10,8,1969.88,624.84,UG-S,200,5.6,116
usa,1969,10,29,1969.94,263.65,UG-S,11,5.1,76
usa,1969,10,29,1969.94,-266.7,UG-S,16.7,5,
usa,1969,10,29,1969.94,624.84,UG-S,110,5.7,300
usa,1969,11,21,1970.002857,-393.8,UG-S,22,5,224
usa,1969,12,5,1970.042857,419.15,UG-T,20,5,
usa,1969,12,10,1970.057143,193.55,UG-S,2.5,4.2,30
usa,1969,12,17,1970.077143,550.67,UG-S,89,5.5,336
usa,1969,12,17,1970.077143,378.05,UG-S,16,4.8,193
usa,1969,12,18,1970.08,461.77,UG-S,38,5.2,
usa,1970,1,23,1970.151429,-266.7,UG-S,8,4.6,76
usa,1970,1,30,1970.171429,304.11,UG-S,20,4.6,175
usa,1970,2,4,1970.182857,554.46,UG-S,120,5.6,440
usa,1970,2,5,1970.185714,441.96,UG-S,25,4.7,240
usa,1970,2,11,1970.202857,402.02,UG-T,12,4.7,
usa,1970,2,25,1970.242857,408.51,UG-S,51,5.2,219
usa,1970,2,26,1970.245714,388.62,UG-S,70,5.3,287
usa,1970,3,6,1970.274286,289.56,UG-S,8.7,4.5,60
usa,1970,3,6,1970.274286,249.94,UG-S,3.5,4.3,113
usa,1970,3,19,1970.311429,301.39,UG-S,6,4.1,139
usa,1970,3,23,1970.322857,560.44,UG-S,89,5.5,335
usa,1970,3,26,1970.331429,209.14,UG-S,1900,6.5,400
usa,1970,4,21,1970.402857,-343.5,UG-S,12.7,4.6,
usa,1970,4,21,1970.402857,274.32,UG-S,20,4.8,180
usa,1970,5,1,1970.431429,390.21,UG-S,1,4.2,
usa,1970,5,1,1970.431429,265.18,UG-S,9,4.5,157
usa,1970,5,5,1970.442857,396.24,UG-T,20,5.2,
usa,1970,5,15,1970.471429,390.14,UG-S,45,5.3,241
usa,1970,5,21,1970.488571,240.65,UG-S,1,3.5,
usa,1970,5,21,1970.488571,482.72,UG-S,29,5.1,
usa,1970,5,26,1970.502857,422.45,UG-T,9,5,
usa,1970,5,26,1970.502857,-529,UG-S,105,5.6,297
usa,1970,5,28,1970.508571,100.58,UG-S,2.5,4.2,
usa,1970,5,28,1970.508571,236.22,UG-S,0.8,3.8,
usa,1970,6,26,1970.588571,309.37,UG-S,3.5,4.3,150
usa,1970,10,13,1970.894286,249.33,UG-S,1,3.9,
usa,1970,10,14,1970.897143,560.62,UG-S,89,5.5,308
usa,1970,11,5,1970.957143,393.46,UG-S,20,4.9,222
usa,1970,11,19,1970.997143,270.92,UG-S,2,4.1,150
usa,1970,12,3,1971.037143,241.12,UG-S,0.1,3.1,
usa,1970,12,16,1971.074286,484.83,UG-S,45,5.2,268
usa,1970,12,16,1971.074286,292.91,UG-S,20,5.1,177
usa,1970,12,17,1971.077143,661.42,UG-S,220,5.8,335
usa,1970,12,18,1971.08,277.98,UG-S,10,5.2,150
usa,1971,6,16,1971.56,303.06,UG-S,18,4.9,157
usa,1971,6,23,1971.58,454.92,UG-S,20,4.8,188
usa,1971,6,24,1971.582857,518.77,UG-S,38,5.2,300
usa,1971,6,29,1971.597143,423.67,UG-T,20,4.9,
usa,1971,7,8,1971.622857,528.83,UG-S,83,5.5,247
usa,1971,7,9,1971.625714,-304.8,UG-S,0.25,3.4,
usa,1971,7,21,1971.66,-241.4,UG-S,0.25,3.4,
usa,1971,8,18,1971.737143,527.61,UG-S,67,5.4,261
usa,1971,9,22,1971.834286,149.86,UG-S,0.5,3.6,
usa,1971,9,29,1971.854286,378.68,UG-S,4,4.4,
usa,1971,10,8,1971.88,377.95,UG-S,7,4.7,256
usa,1971,10,14,1971.897143,-304.8,UG-S,5,4.4,60
usa,1971,11,6,1971.96,-1790,UG-S,4800,6.8,1100
usa,1971,11,30,1972.028571,330.71,UG-S,10,4.7,150
usa,1971,12,14,1972.068571,331.01,UG-S,24,4.7,113
usa,1972,2,3,1972.18,301.78,UG-S,2,4.1,90
