stateabb,year,milex,bilex,milper,irst,pec,tpop,upop,cinc
USA,1962,52381008,52.381008,2807,89202,1508570,186538,50916,0.2099114
USA,1963,52295008,52.295008,2700,99120,1589655,189242,50891,0.2079665
USA,1964,51213008,51.213008,2687,115281,1610682,191889,50866,0.2029826
USA,1965,51827008,51.827008,2660,119260,1700357,194303,50841,0.2015391
USA,1966,67572000,67.572,3090,121655,1784048,196560,50815,0.2086695
USA,1967,75448000,75.448,3380,115406,1903194,198712,50790,0.2085481
USA,1968,80732000,80.732,3550,119262,2094353,200706,50765,0.2034119
USA,1969,81446000,81.446,3460,128152,2198902,202677,53117,0.1979508
USA,1970,77827008,77.827008,3070,119309,2276904,205052,55468,0.1809692
USA,1971,74862000,74.862,2720,109265,2311854,207661,55560,0.1699562
USA,1972,77639000,77.639,2323,120875,2396418,209896,55652,0.1647432
USA,1973,78385000,78.385,2206,136804,2490304,211909,55743,0.1588194
USA,1974,85906000,85.906,2146,132196,2430725,213854,55736,0.1526986
USA,1975,90948000,90.948,2098,105897,2393766,215973,55728,0.1439478
USA,1976,91013000,91.013,2075,116121,2536257,218035,55721,0.1424627
USA,1977,100925000,100.925,2060,113701,2619481,220239,55713,0.1418244
USA,1978,109247000,109.247,2060,124314,2612982,222585,56208,0.1396744
USA,1979,122279000,122.279,2033,123688,2659868,225055,56702,0.1372161
USA,1980,143981000,143.981,2050,101456,2584210,227726,57197,0.1331146
USA,1981,169888000,169.888,2101,109614,2502657,229966,57825,0.1380075
USA,1982,196345000,196.345,2168,67656,2380353,232188,58453,0.1295889
USA,1983,217198000,217.198,2201,76762,2378677,234307,58856,0.1329419
USA,1984,237052000,237.052,2222,83940,2467563,236348,59259,0.135594
USA,1985,245154000,245.154,2244,80067,2466405,238466,60260,0.1373146
USA,1986,265480000,265.48,2269,74032,2468629,240651,61261,0.1352873
USA,1987,273966000,273.966,2280,80876,2561765,242804,61975,0.1340296
USA,1988,281935000,281.935,2250,90631,2669996,245021,62689,0.1344698
USA,1989,294880000,294.88,2240,87722,2745073,247342,63402,0.148239
USA,1990,289755000,289.755,2180,89726,2798225,249907,64116,0.1413318
USA,1991,262389000,262.389,2110,79738,2827021,252618,64814,0.1372464
USA,1992,286892000,286.892,1920,84322,2856725,255391,65413,0.1483136
USA,1993,297600000,297.6,1810,88793,2921265,258132,66072,0.1535161
