longitude,latitude,name,population
-83.38773194,39.34866733,ADENA GREENFIELD MEDICAL CENTER,25
-81.91990673,40.56509454,POMERENE HOSPITAL,69
-82.45063523,40.04830193,LICKING MEMORIAL HOSPITAL,213
-83.75553126,40.36954177,MARY RUTAN HOSPITAL,115
-82.22471296,41.29506476,MERCY ALLEN HOSPITAL,25
-80.65803839,41.13500507,NORTHSIDE MEDICAL CENTER,398
-113.0666749,37.69976036,VALLEY VIEW MEDICAL CENTER,48
-111.8377406,39.73146216,CENTRAL VALLEY MEDICAL CENTER,25
-107.241937,33.14018908,SIERRA VISTA HOSPITAL,25
-103.184921,32.76231971,LEA REGIONAL MEDICAL CENTER,186
-85.76808106,39.79549333,HANCOCK REGIONAL HOSPITAL,68
-104.6935647,34.93021528,GUADALUPE COUNTY HOSPITAL,10
-108.2609177,32.79712998,GILA REGIONAL MEDICAL CENTER,71
-95.73556612,41.03921194,GLENWOOD STATE HOSPITAL SCHOOL,851
-106.7289159,32.32366851,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,168
-108.7265048,35.50651464,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,69
-108.1396104,35.69866636,CROWNPOINT PUBLIC HEALTH SERVICES INDIAN HOSPITAL,32
-115.2854705,36.28705722,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,171
-115.116711,36.03364521,HORIZON SPECIALTY HOSPITAL OF HENDERSON,39
-86.7585422,37.92786126,PERRY COUNTY MEMORIAL HOSPITAL,25
-114.1159479,36.81003991,MESA VIEW REGIONAL HOSPITAL,25
-115.1628326,36.18914441,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,-999
-85.68303237,30.76108081,DOCTORS MEMORIAL HOSPITAL,20
-81.39487546,40.81215791,MERCY MEDICAL CENTER,441
-111.8164866,39.15625599,GUNNISON VALLEY HOSPITAL,25
-87.51201932,41.53775793,FRANCISCAN PHYSICIANS HOSPITAL LLC,63
-87.52471744,41.49235146,FRANCISCAN ST MARGARET HEALTH - DYER,198
-112.1670055,33.3802854,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,16
-86.0770006,39.47966774,JOHNSON MEMORIAL HOSPITAL,125
-84.99468911,41.63437877,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,25
-86.72529027,41.61065217,INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,227
-86.51319832,38.85992088,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,25
-87.13030991,39.04074221,GREENE COUNTY GENERAL HOSPITAL,25
-87.58983221,38.36091727,GIBSON GENERAL HOSPITAL,25
-86.07549818,39.78731372,COMMUNITY HOSPITAL EAST,335
-86.26721649,39.90769543,ORTHOINDY HOSPITAL,38
-97.99124055,43.39969038,AVERA SAINT BENEDICT HEALTH CENTER,25
-97.08404256,43.17538103,PIONEER MEMORIAL HOSPITAL AND HEALTH SERVICES,12
-99.84729509,43.36992976,WINNER REGIONAL HEALTHCARE CENTER,25
-103.5941203,43.77266246,CUSTER REGIONAL HOSPITAL,11
-96.59146309,44.05135192,AVERA FLANDREAU HOSPITAL,18
-96.71580998,43.82858454,AVERA DELLS AREA HOSPITAL,23
-96.6271735,45.22245806,MILBANK AREA HOSPITAL / AVERA HEALTH,25
-72.80122911,41.54939177,MIDSTATE MEDICAL CENTER,156
-72.96120653,41.28184028,WEST HAVEN VA MEDICAL CENTER,-999
