name,population,latitude,longitude
Adena Greenfield Medical Center,25,39.34866733,-83.38773194
Pomerene Hospital,69,40.56509454,-81.91990673
Licking Memorial Hospital,213,40.04830193,-82.45063523
Mary Rutan Hospital,115,40.36954177,-83.75553126
Mercy Allen Hospital,25,41.29506476,-82.22471297
Northside Medical Center,398,41.13500507,-80.65803839
Valley View Medical Center,48,37.69976036,-113.0666749
Central Valley Medical Center,25,39.73146216,-111.8377406
Sierra Vista Hospital,25,33.14018908,-107.241937
Lea Regional Medical Center,186,32.76231971,-103.184921
Hancock Regional Hospital,68,39.79549333,-85.76808106
Guadalupe County Hospital,10,34.93021528,-104.6935647
Gila Regional Medical Center,71,32.79712998,-108.2609177
Glenwood State Hospital School,851,41.03921194,-95.73556612
Mountain View Regional Medical Center,168,32.32366851,-106.7289159
Rehoboth Mckinley Christian Health Care Services,69,35.50651464,-108.7265048
Crownpoint Public Health Services Indian Hospital,32,35.69866636,-108.1396105
Centennial Hills Hospital Medical Center,171,36.28705722,-115.2854705
Horizon Specialty Hospital Of Henderson,39,36.03364521,-115.116711
Perry County Memorial Hospital,25,37.92786126,-86.7585422
Mesa View Regional Hospital,25,36.81003991,-114.1159479
Va Southern Nevada Healthcare System,-999,36.18914441,-115.1628326
Doctors Memorial Hospital,20,30.76108081,-85.68303237
Mercy Medical Center,441,40.81215791,-81.39487546
Gunnison Valley Hospital,25,39.15625599,-111.8164866
Franciscan Physicians Hospital Llc,63,41.53775793,-87.51201932
Franciscan St Margaret Health - Dyer,198,41.49235146,-87.52471744
Dignity Health - Arizona General Hospital,16,33.3802854,-112.1670055
Johnson Memorial Hospital,125,39.47966774,-86.0770006
Cameron Memorial Community Hospital Inc,25,41.63437877,-84.99468911
Indiana University Health La Porte Hospital,227,41.61065217,-86.72529027
Indiana University Health Bedford Hospital,25,38.85992088,-86.51319832
Greene County General Hospital,25,39.04074221,-87.13030991
Gibson General Hospital,25,38.36091727,-87.58983221
Community Hospital East,335,39.78731372,-86.07549818
Orthoindy Hospital,38,39.90769543,-86.2672165
Avera Saint Benedict Health Center,25,43.39969038,-97.99124056
Pioneer Memorial Hospital And Health Services,12,43.17538103,-97.08404256
Winner Regional Healthcare Center,25,43.36992976,-99.84729509
Custer Regional Hospital,11,43.77266246,-103.5941203
Avera Flandreau Hospital,18,44.05135192,-96.59146309
Avera Dells Area Hospital,23,43.82858454,-96.71580998
Milbank Area Hospital / Avera Health,25,45.22245806,-96.62717351
Midstate Medical Center,156,41.54939177,-72.80122911
West Haven Va Medical Center,-999,41.28184028,-72.96120653
Bristol Hospital,134,41.67634286,-72.93551293
John Dempsey Hospital,137,41.73076488,-72.79058452
New Milford Hospital,85,41.58171301,-73.40955764
Hendricks Regional Health,160,39.76191216,-86.50188213
Indiana University Health West Hospital,127,39.78050439,-86.34044663
Rehabilitation Institute Of Northwest Florida,237,30.39412199,-86.47191119
Twin Cities Hospital,65,30.5335891,-86.49547732
Northwest Florida Community Hospital,59,30.76549207,-85.54286154
Shands Lake Shore Regional Medical Center,99,30.19313357,-82.63275612
Jay Hospital,49,30.94984954,-87.15126923
Madison County Memorial Hospital,25,30.47051409,-83.41149706
St Vincent'S Medical Center Southside,309,30.25337778,-81.58236885
Capital Regional Medical Center - Gadsden Memorial Campus,266,30.56888324,-84.54866986
Select Specialty Hospital - Panama City,30,30.1597128,-85.64778936
Fall River Hospital,25,43.41720813,-103.4800894
Memorial Hospital,14,40.87123434,-98.01064063
Harlan County Health System,19,40.10499219,-99.36492831
Olean General Hospital,186,42.08993262,-78.42783855
Guthrie Towanda Memorial Hospital,77,41.78405234,-76.44814893
Doylestown Hospital,238,40.30590179,-75.1461011
York General Hospital,25,40.8825718,-97.5921534
Nason Hospital,45,40.338928,-78.388433
Hanover Hospital,106,39.808793,-76.983191
Cherry County Hospital,25,42.87939012,-100.5381664
Acmh Hospital,155,40.808844,-79.562016
"Children'S Institute Of Pittsburgh, The",72,40.44268659,-79.91919944
Upmc Passavant,412,40.573393,-80.013993
Allegheny Valley Hospital,228,40.61828482,-79.73675135
Titusville Area Hospital,72,41.63362,-79.67973
Geisinger-Bloomsburg Hospital,72,41.009512,-76.452273
Tilden Community Hospital,12,42.04735132,-97.83784808
Kensington Hospital,45,39.98169934,-75.13462803
Banner Churchill Community Hospital,40,39.47655813,-118.7662052
Shriners Hospitals For Children-Philadelphia,53,40.00687889,-75.15124258
Carson Valley Medical Center,23,38.91948387,-119.7190175
Humboldt General Hospital,52,40.97132504,-117.7271873
Warren Memorial Hospital,19,40.65345624,-97.28165027
Desert View Regional Medical Center,25,36.21451047,-116.0250897
Pershing General Hospital,38,40.17598617,-118.482111
Montrose General Hospital,21,41.832527,-75.872756
Mercy Continuing Care Hospital,54,38.63734304,-90.48652731
Lebanon Veterans Affairs Medical Center,213,40.31731186,-76.39712392
Main Line Bryn Mawr Hospital,319,40.01894448,-75.32142881
Indiana Regional Medical Center,164,40.607521,-79.156262
Muncy Valley Hospital,18,41.209758,-76.775342
Chambersburg Hospital,240,39.933978,-77.646136
Pinnaclehealth Harrisburg Campus,577,40.257679,-76.880659
Carlisle Regional Medical Center,165,40.18332919,-77.22422121
Riddle Hospital,204,39.912348,-75.430541
Beth Israel Deaconess Hospital Milton,88,42.2513,-71.0772
Upmc Passavant-Cranberry-Er,-999,40.68290644,-80.09804762
Rush Memorial Hospital,25,39.62175459,-85.44403692
Lahey Medical Center - Peabody,10,42.5372,-70.9464
Kindred Hospital Boston - North Shore,50,42.5289,-70.9382
Lincolnhealth - Miles Campus,32,44.02612933,-69.53066139
Upmc Horizon-Shenango Valley-Er,-999,41.21068474,-80.46952182
St Vincent Frankfort Hospital Inc,25,40.26955065,-86.51128071
Banner Casa Grande Medical Center,177,32.88115523,-111.7107486
Abrazo Central Campus,221,33.52481593,-112.1021815
Union Hospital Clinton,25,39.65290251,-87.39918421
Brooks County Hospital,25,30.795015,-83.55906957
St Mary'S Warrick Hospital Inc,35,38.04192863,-87.2628112
St Vincent Williamsport Hospital Inc,16,40.29043211,-87.29670147
St Catherine Hospital Inc,220,41.63478933,-87.44882232
Vibra Hospital Of Northwestern Indiana,40,41.44461985,-87.32539938
Paulding County Hospital,25,41.13439981,-84.60108658
Sullivan County Community Hospital,25,39.12557025,-87.41261007
Spring Harbor Hospital,100,43.65342556,-70.34408455
St Vincent Mercy Hospital,25,40.27636513,-85.84221576
Scott County Memorial Hospital Aka Scott Memorial,25,38.70498984,-85.78618498
Medical Behavioral Hospital - Mishawaka,30,41.67124835,-86.15887275
Woodlawn Hospital,25,41.06396434,-86.19569205
Southern Arizona Va Health Care System,-999,32.18123222,-110.9649349
"Landmark Hospital Of Athens, Llc",50,33.96643341,-83.41157103
Avera Mckennan Hospital,514,43.53423762,-96.71432208
"Medical Center Of Peach County, The",25,32.60465684,-83.75895685
Monroe County Hospital,25,33.03125664,-83.94595922
Dakota Plains Surgical Center,15,45.47315233,-98.50024018
Wellstar Sylvan Grove Hospital,-999,33.30381367,-83.97778738
Saint Joseph'S Regional Medical Center - Plymouth,48,41.33350568,-86.33186129
Wellstar Paulding Hospital,216,33.91890738,-84.85239527
Fall River Health Services,25,43.43118171,-103.4801441
York Hospital,79,43.14251792,-70.65175416
Harrington Memorial Hospital,114,42.0786,-72.0421
