name,latitude,longitude
Bankhead Dam,33.458665,-87.356823
Barry,31.0069,-88.0103
Walter Bouldin Dam,32.583889,-86.283056
Gadsden,34.0128,-85.9708
Gorgas,33.644344,-87.196486
Copper,31.7569,-106.375
Greene County,32.6017,-87.7811
H Neely Henry Dam,33.7845,-86.0524
Holt Dam,33.2553,-87.4495
Jordan Dam,32.6189,-86.2548
Logan Martin Dam,33.425878,-86.337547
Lay Dam,32.9633,-86.5187
Martin Dam,32.680394,-85.911442
Mitchell Dam,32.806025,-86.444892
Lewis Smith Dam,33.9406,-87.1077
Thurlow Dam,32.535436,-85.887614
Weiss Dam,34.172142,-85.753806
Yates Dam,32.5743,-85.8901
E C Gaston,33.244211,-86.458056
Madelia,44.0501,-94.4178
Rollins,39.134259,-120.953341
Millers Ferry,32.100881,-87.399767
Browns Ferry,34.7042,-87.1189
Colbert,34.7439,-87.8486
Guntersville,34.421272,-86.393931
Wheeler Dam,34.8069,-87.3819
Widows Creek,34.883022,-85.755253
Dolet Hills,32.030556,-93.569167
Gantt,31.4033,-86.479469
J K Smith,37.8833,-84.1017
Point A,31.361146,-86.518307
Charles R Lowman,31.488019,-87.910747
Platte,40.854765,-98.348222
Whelan Energy Center,40.580872,-98.312437
Annex Creek,58.3176,-134.101
Gold Creek,58.3107,-134.4174
Lemon Creek,58.3536,-134.4953
Salmon Creek 1,58.3269,-134.4631
Skagway,59.4545,-135.3131
Haines,59.235931,-135.446228
Swan Lake,55.615208,-131.356111
Terror Lake Microgrid,57.6861,-152.895
Venice Hydro,34.01135,-118.4168
Anchorage 1,61.2221,-149.8661
Eklutna Hydro Project,61.475211,-149.15009
Snettisham,58.1415,-133.737
Aurora Energy LLC Chena,64.847743,-147.735063
Ketchikan,55.344641,-131.633425
S W Bailey,55.357397,-131.69696
Escalante,35.4159,-108.082
Ashokan,41.949,-74.2063
Snake River,64.505331,-165.429814
Petersburg,56.81104,-132.957091
Seward (AK),60.130922,-149.43501
Blue Lake Hydro,57.0516,-135.2297
Wrangell,56.460976,-132.379439
Beluga,61.1861,-151.0356
Frederickson,47.079722,-122.365
South Consolidated,33.466477,-111.781064
J S Eastwood,37.147926,-119.2567
Holcomb,37.9308,-100.9725
Dillingham,59.042914,-158.468597
Childs,34.351111,-111.700556
Cholla,34.9394,-110.3033
Douglas,31.364122,-109.5538
Irving,34.402222,-111.617222
Ocotillo,33.4225,-111.9122
West Phoenix,33.4417,-112.1583
Saguaro,32.5517,-111.3
Yucca,32.7214,-114.7106
Demoss Petrie,32.252273,-110.992148
H Wilson Sundt Generating Station,32.16,-110.9047
Oklaunion,34.0825,-99.1753
Cross,33.371506,-80.113235
Seminole (FL),29.733056,-81.632778
Agua Fria,33.5561,-112.2153
Crosscut,33.439375,-111.946052
Horse Mesa,33.5907,-111.344
Kyrene,33.3556,-111.9353
Mormon Flat,33.5536,-111.4431
Roosevelt,33.671104,-111.161786
Stewart Mountain,33.5661,-111.536
McClure,37.62936,-120.93139
Davis Dam,35.197044,-114.570669
Glen Canyon Dam,36.936614,-111.483872
Hoover Dam (NV),36.01551,-114.738006
Lake Creek Dam,40.493631,-111.312506
Apache Station,32.0603,-109.8931
Turlock Lake,37.611461,-120.594678
Hickman,37.621536,-120.746247
Big Pine,24.579167,-81.685
GREC,36.190278,-95.2894
Carpenter,34.4425,-93.0262
Cecil Lynch,34.7535,-92.1987
Hamilton Moses,34.9806,-90.8722
Harvey Couch,33.3592,-93.4649
Lake Catherine,34.4341,-92.9049
Mabelvale,34.635997,-92.409602
Osceola (AR),35.6893,-89.994
Robert E Ritchie,34.4629,-90.5987
Remmel,34.4272,-92.8941
Volta 2,40.45193,-121.86215
Beaver Dam,36.421507,-93.847373
Degray,34.211913,-93.110963
Greers Ferry Lake,35.5207,-91.9953
Paragould,36.060556,-90.521389
Municipal Light,36.3858,-90.1867
Narrows (AR),34.148427,-93.715168
