name,latitude,longitude,authority,source,source
Bankhead Dam,33.458665,-87.356823,"Southern Company Services, Inc. - Trans",Black Warrior River,Black Warrior River
Barry,31.006900,-88.010300,"Southern Company Services, Inc. - Trans",Mobile River,Mobile River
Walter Bouldin Dam,32.583889,-86.283056,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Gadsden,34.012800,-85.970800,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Gorgas,33.644344,-87.196486,"Southern Company Services, Inc. - Trans",Warrior River,Warrior River
Copper,31.756900,-106.375000,El Paso Electric Company,Municipality,Municipality
Greene County,32.601700,-87.781100,"Southern Company Services, Inc. - Trans",Black Warrior River,Black Warrior River
H Neely Henry Dam,33.784500,-86.052400,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Holt Dam,33.255300,-87.449500,"Southern Company Services, Inc. - Trans",Black Warrior River,Black Warrior River
Jordan Dam,32.618900,-86.254800,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Logan Martin Dam,33.425878,-86.337547,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Lay Dam,32.963300,-86.518700,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Martin Dam,32.680394,-85.911442,"Southern Company Services, Inc. - Trans",Tallapoosa River,Tallapoosa River
Mitchell Dam,32.806025,-86.444892,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Lewis Smith Dam,33.940600,-87.107700,"Southern Company Services, Inc. - Trans",Sipsey Fork Black Warrior Rive,Sipsey Fork Black Warrior Rive
Thurlow Dam,32.535436,-85.887614,"Southern Company Services, Inc. - Trans",Tallapoosa River,Tallapoosa River
Weiss Dam,34.172142,-85.753806,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Yates Dam,32.574300,-85.890100,"Southern Company Services, Inc. - Trans",Tallapoosa River,Tallapoosa River
E C Gaston,33.244211,-86.458056,"Southern Company Services, Inc. - Trans",Coosa River,Coosa River
Madelia,44.050100,-94.417800,"Midcontinent Independent Transmission System Operator, Inc..",,
Rollins,39.134259,-120.953341,California Independent System Operator,Bear River,Bear River
Millers Ferry,32.100881,-87.399767,"Southern Company Services, Inc. - Trans",Alabama River,Alabama River
Browns Ferry,34.704200,-87.118900,Tennessee Valley Authority,Tennessee River,Tennessee River
Colbert,34.743900,-87.848600,Tennessee Valley Authority,Tennessee River,Tennessee River
Guntersville,34.421272,-86.393931,Tennessee Valley Authority,Tennessee River,Tennessee River
Wheeler Dam,34.806900,-87.381900,Tennessee Valley Authority,Tennessee River,Tennessee River
Widows Creek,34.883022,-85.755253,Tennessee Valley Authority,Tennessee River,Tennessee River
Dolet Hills,32.030556,-93.569167,"Midcontinent Independent Transmission System Operator, Inc..",Toledo Bend Lake,Toledo Bend Lake
Gantt,31.403300,-86.479469,PowerSouth Energy Cooperative,Conecuh River,Conecuh River
J K Smith,37.883300,-84.101700,"PJM Interconnection, LLC",Kentucky River,Kentucky River
Point A,31.361146,-86.518307,PowerSouth Energy Cooperative,Conecuh River,Conecuh River
Charles R Lowman,31.488019,-87.910747,PowerSouth Energy Cooperative,Tombigbee River,Tombigbee River
Platte,40.854765,-98.348222,Southwest Power Pool,Wells,Wells
Whelan Energy Center,40.580872,-98.312437,Southwest Power Pool,Wells,Wells
Annex Creek,58.317600,-134.101000,,Annex Creek Lake,Annex Creek Lake
Gold Creek,58.310700,-134.417400,,Gold Creek,Gold Creek
Lemon Creek,58.353600,-134.495300,,,
Salmon Creek 1,58.326900,-134.463100,,Salmon Creek Reservoir,Salmon Creek Reservoir
Skagway,59.454500,-135.313100,,Dewey Lake,Dewey Lake
Haines,59.235931,-135.446228,,,
Swan Lake,55.615208,-131.356111,No BA,Swan Lake,Swan Lake
Terror Lake Microgrid,57.686100,-152.895000,,Terror Lake,Terror Lake
Venice Hydro,34.011350,-118.416800,California Independent System Operator,River,River
Anchorage 1,61.222100,-149.866100,,,
Eklutna Hydro Project,61.475211,-149.150090,,Eklutna Lake,Eklutna Lake
Snettisham,58.141500,-133.737000,,Long Lake And Crater Lake,Long Lake And Crater Lake
Aurora Energy LLC Chena,64.847743,-147.735063,,Chena River,Chena River
Ketchikan,55.344641,-131.633425,,Ketchikan Lakes,Ketchikan Lakes
S W Bailey,55.357397,-131.696960,,Municipality,Municipality
Escalante,35.415900,-108.082000,Western Area Power Administration - Rocky Mountain Region,Wells,Wells
Ashokan,41.949000,-74.206300,New York Independent System Operator,Ashokan Reservoir,Ashokan Reservoir
Snake River,64.505331,-165.429814,,Municipality,Municipality
Petersburg,56.811040,-132.957091,,Crystal Lake,Crystal Lake
Seward (AK),60.130922,-149.435010,,Municipality,Municipality
Blue Lake Hydro,57.051600,-135.229700,,Blue Lake,Blue Lake
Wrangell,56.460976,-132.379439,,,
Beluga,61.186100,-151.035600,,Well,Well
Frederickson,47.079722,-122.365000,Puget Sound Energy,City of Tacoma,City of Tacoma
South Consolidated,33.466477,-111.781064,Salt River Project,South Consolidated Canal,South Consolidated Canal
J S Eastwood,37.147926,-119.256700,California Independent System Operator,San Joaquin River,San Joaquin River
Holcomb,37.930800,-100.972500,Southwest Power Pool,Wells,Wells
Dillingham,59.042914,-158.468597,,,
Childs,34.351111,-111.700556,,Fossil Creek/Natural Spring,Fossil Creek/Natural Spring
Cholla,34.939400,-110.303300,Arizona Public Service Company,Lake Wells,Lake Wells
Douglas,31.364122,-109.553800,Arizona Public Service Company,Municipality,Municipality
Irving,34.402222,-111.617222,,Fossil Creek/Natural Spring,Fossil Creek/Natural Spring
Ocotillo,33.422500,-111.912200,Arizona Public Service Company,Wells,Wells
West Phoenix,33.441700,-112.158300,Arizona Public Service Company,Wells,Wells
Saguaro,32.551700,-111.300000,Arizona Public Service Company,Wells,Wells
Yucca,32.721400,-114.710600,Arizona Public Service Company,Wells,Wells
Demoss Petrie,32.252273,-110.992148,Tucson Electric Power Company,Wells,Wells
H Wilson Sundt Generating Station,32.160000,-110.904700,Tucson Electric Power Company,Wells,Wells
Oklaunion,34.082500,-99.175300,Southwest Power Pool,Municipality,Municipality
Cross,33.371506,-80.113235,South Carolina Public Service Authority,Diversion Canal,Diversion Canal
Seminole (FL),29.733056,-81.632778,Seminole Electric Cooperative,St Johns River,St Johns River
Agua Fria,33.556100,-112.215300,Salt River Project,Wells,Wells
Crosscut,33.439375,-111.946052,Salt River Project,Crosscut Canal,Crosscut Canal
Horse Mesa,33.590700,-111.344000,Salt River Project,Salt River,Salt River
Kyrene,33.355600,-111.935300,Salt River Project,Well Water,Well Water
Mormon Flat,33.553600,-111.443100,Salt River Project,Salt River,Salt River
Roosevelt,33.671104,-111.161786,Salt River Project,Salt River,Salt River
Stewart Mountain,33.566100,-111.536000,Salt River Project,Salt River,Salt River
McClure,37.629360,-120.931390,Balancing Authority of Northern California,Municipality,Municipality
Davis Dam,35.197044,-114.570669,Western Area Power Administration - Desert Southwest Region,Colorado River,Colorado River
Glen Canyon Dam,36.936614,-111.483872,Western Area Power Administration - Desert Southwest Region,Lake Powell - Colorado River,Lake Powell - Colorado River
Hoover Dam (NV),36.015510,-114.738006,Western Area Power Administration - Desert Southwest Region,Lake Mead  - Colorado River,Lake Mead  - Colorado River
Lake Creek Dam,40.493631,-111.312506,PacifiCorp - East,Lake Creek,Lake Creek
Apache Station,32.060300,-109.893100,Western Area Power Administration - Desert Southwest Region,Wells,Wells
Turlock Lake,37.611461,-120.594678,Turlock Irrigation District,Turlock Lake,Turlock Lake
Hickman,37.621536,-120.746247,Turlock Irrigation District,Main Canal,Main Canal
Big Pine,24.579167,-81.685000,,,
GREC,36.190278,-95.289400,Southwest Power Pool,Grand Neosho,Grand Neosho
Carpenter,34.442500,-93.026200,"Midcontinent Independent Transmission System Operator, Inc..",Lake Hamilton,Lake Hamilton
Cecil Lynch,34.753500,-92.198700,"Midcontinent Independent Transmission System Operator, Inc..",Arkansas River,Arkansas River
Hamilton Moses,34.980600,-90.872200,"Midcontinent Independent Transmission System Operator, Inc..",L'Anquille River,L'Anquille River
Harvey Couch,33.359200,-93.464900,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Wells
Lake Catherine,34.434100,-92.904900,"Midcontinent Independent Transmission System Operator, Inc..",Lake Catherine,Lake Catherine
Mabelvale,34.635997,-92.409602,"Midcontinent Independent Transmission System Operator, Inc..",Air Cooled Condensor,Air Cooled Condensor
Osceola (AR),35.689300,-89.994000,"Midcontinent Independent Transmission System Operator, Inc..",NA,NA
Robert E Ritchie,34.462900,-90.598700,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
Remmel,34.427200,-92.894100,"Midcontinent Independent Transmission System Operator, Inc..",Lake Catherine,Lake Catherine
Volta 2,40.451930,-121.862150,California Independent System Operator,Cross Country Canal,Cross Country Canal
Beaver Dam,36.421507,-93.847373,Southwestern Power Administration,Beaver Lake,Beaver Lake
Degray,34.211913,-93.110963,"Midcontinent Independent Transmission System Operator, Inc..",Caddo River,Caddo River
Greers Ferry Lake,35.520700,-91.995300,Southwestern Power Administration,Greers Ferry Lake,Greers Ferry Lake
Paragould,36.060556,-90.521389,Southwestern Power Administration,Wells,Wells
Municipal Light,36.385800,-90.186700,Southwestern Power Administration,Municipality,Municipality
Narrows (AR),34.148427,-93.715168,Southwest Power Pool,Little Missouri River,Little Missouri River
Norfork,36.249100,-92.240100,Southwestern Power Administration,Norfork Lake,Norfork Lake
Blakely Mountain,34.570984,-93.194425,"Midcontinent Independent Transmission System Operator, Inc..",Ouachita River,Ouachita River
Bull Shoals,36.363500,-92.576300,Southwestern Power Administration,Bull Shoals Lake,Bull Shoals Lake
Dardanelle,35.250300,-93.168600,Southwestern Power Administration,Arkansas River,Arkansas River
Thomas Fitzhugh,35.462382,-93.804926,Southwest Power Pool,Arkansas River,Arkansas River
Carl Bailey,35.260102,-91.363426,"Midcontinent Independent Transmission System Operator, Inc..",White River,White River
McClellan (AR),33.564800,-92.791700,"Midcontinent Independent Transmission System Operator, Inc..",Ouachita River,Ouachita River
Clinton Power Station,40.171900,-88.833900,"Midcontinent Independent Transmission System Operator, Inc..",Salt Creek,Salt Creek
St Johns River Power Park,30.430800,-81.550800,JEA,St. Johns River,St. Johns River
Wolf Creek Generating Station,38.239260,-95.689780,Southwest Power Pool,Wolf Creek Cooling Lake,Wolf Creek Cooling Lake
Alta Powerhouse,39.215979,-120.803550,California Independent System Operator,Towle Canal,Towle Canal
Angels,38.071944,-120.539444,California Independent System Operator,North Fork Stanislaus River,North Fork Stanislaus River
Balch 1,36.909137,-119.087712,California Independent System Operator,North Fork Kings River,North Fork Kings River
Balch 2,36.908907,-119.087556,California Independent System Operator,North Fork Kings River,North Fork Kings River
Belden,40.007445,-121.249438,California Independent System Operator,North Fork Feather River,North Fork Feather River
Bucks Creek,39.910620,-121.327692,California Independent System Operator,Bucks Creek,Bucks Creek
Butt Valley,40.175656,-121.190663,California Independent System Operator,North Fork Feather River,North Fork Feather River
Caribou 1,40.085476,-121.148241,California Independent System Operator,North Fork Feather River,North Fork Feather River
Caribou 2,40.085997,-121.149373,California Independent System Operator,North Fork Feather River,North Fork Feather River
Centerville PH,39.788877,-121.657383,California Independent System Operator,Big Butte Creek,Big Butte Creek
Chili Bar,38.771764,-120.813239,California Independent System Operator,South Fork American River,South Fork American River
Coal Canyon,39.605043,-121.600525,California Independent System Operator,West Branch Feather River,West Branch Feather River
Coleman PH,40.404645,-122.121904,California Independent System Operator,Battle Creek,Battle Creek
Cow Creek,40.570817,-122.020930,California Independent System Operator,South Cow Creek,South Cow Creek
Cresta,39.825907,-121.409687,California Independent System Operator,North Fork Feather River,North Fork Feather River
De Sabla,39.869265,-121.631819,California Independent System Operator,Big Butte Creek,Big Butte Creek
Deer Creek PH,39.298070,-120.844300,California Independent System Operator,Deer Creek,Deer Creek
Drum 1,39.256873,-120.767437,California Independent System Operator,Bear River,Bear River
Drum 2,39.257388,-120.767046,California Independent System Operator,Bear River,Bear River
Dutch Flat,39.216985,-120.835587,California Independent System Operator,Bear River,Bear River
El Dorado,38.793574,-120.619152,California Independent System Operator,South Fork American River,South Fork American River
Electra,38.330985,-120.669901,California Independent System Operator,North Fork Mokelumne River,North Fork Mokelumne River
Haas,36.927424,-119.020250,California Independent System Operator,North Fork Kings River,North Fork Kings River
Halsey,38.956985,-121.041932,California Independent System Operator,Bear River,Bear River
Hamilton Branch,40.268712,-121.089479,California Independent System Operator,Hamilton Branch Of Nf Feather,Hamilton Branch Of Nf Feather
Hat Creek 1,40.929297,-121.544462,California Independent System Operator,Hat Creek,Hat Creek
Hat Creek 2,40.960675,-121.548657,California Independent System Operator,Hat Creek,Hat Creek
Humboldt Bay,40.741500,-124.210300,California Independent System Operator,Humboldt Bay,Humboldt Bay
Hunters Point,37.733611,-122.389722,,San Francisco Bay,San Francisco Bay
Inskip,40.400988,-121.965502,California Independent System Operator,South & North Forks Battle Cre,South & North Forks Battle Cre
James B Black,40.992295,-121.975182,California Independent System Operator,McCloud River & Iron Canyon Cr,McCloud River & Iron Canyon Cr
Kerckhoff,37.092486,-119.552826,California Independent System Operator,San Joaquin River,San Joaquin River
Kilarc,40.677827,-121.873253,California Independent System Operator,North Fork Cow Creek,North Fork Cow Creek
Kings River PH,36.888166,-119.158777,California Independent System Operator,North Fork Kings River,North Fork Kings River
Lime Saddle,39.698755,-121.570960,California Independent System Operator,Kunkle Creek & Wb Feather Rive,Kunkle Creek & Wb Feather Rive
Merced Falls,37.523010,-120.329905,California Independent System Operator,Merced River,Merced River
Dynegy Moss Landing Power Plant,36.804837,-121.782241,California Independent System Operator,Moss Landing Harbor,Moss Landing Harbor
Murphys,38.147093,-120.446396,California Independent System Operator,Mill Creek & Nf Stanislaus Riv,Mill Creek & Nf Stanislaus Riv
Narrows PH,39.236400,-121.271741,California Independent System Operator,Yuba River,Yuba River
Phoenix,38.032103,-120.326537,California Independent System Operator,South Fork Stanislaus River,South Fork Stanislaus River
Pit 1,40.990840,-121.498243,California Independent System Operator,Fall River,Fall River
