longitude,latitude,CWP_NAME,STATE_WATER_BODY_NAME
-86.866667,40.75,REYNOLDS MUNICIPAL WWTP,Í
-120.69043,46.72448,NACHES POTW,
-84.767286,42.248216,CITY OF ALBION,KALAMAZOO RIVER
-88.175,47.370833,KEWEENAW CO-MT H GREELEY WWSL,BUFFALO CREEK
-84.945781,36.406181,JAMESTOWN STP,Rock Castle Creek @ mi. 4.75
-89.658624,40.56435,"PEKIN STP #1, CITY OF",ILLINOIS RIVER
-98.875722,34.009389,CITY OF ELECTRA WWTP,S FORK BUFFALO CREEK; WICHITA RIVER
-81.450389,31.389,"DARIEN, CITY OF",CATHEAD CRK TRIB/DARIEN RIVER OGEECHEE RB
-89.851752,35.401473,PINE GROVE MOBILE HOME PARK,UNKNOWN
-88.703833,43.331472,CLYMAN WASTEWATER TREATMENT FA,ROCK R VIA DEAD
-88.74845,44.62333,CLINTONVILLE CITY WWTF,PIGEON R
-75.260456,40.750097,STOCKERTOWN BORO WWTP,LITTLE BUSHKILL CREEK
-72.619763,41.919039,EAST WINDSOR WPCF,CONNECTICUT RIVER
-71.193935,41.676769,FALL RIVER W W T P,MT HOPE BAY
-97.33277,27.876969,CITY OF PORTLAND WWTF,NUECES BAY
-90.773028,38.930778,LCPWSD #1 - GREEN ACRES,Cuivre R.
-94.19301,40.86227,"TINGLEY, CITY-OF-STP-SIRWA",
-97.590889,35.682083,OK CITY WTR UTIL TRST-DEER CK,620910040120 Deer Ck/Cottonwood Ck
-123.811083,46.190583,"ASTORIA, CITY OF",COLUMBIA RIVER
-87.953111,43.307583,GRAFTON WATER & WASTEWATER UT,MILWAUKEE R
-81.33795,41.72302,GARY L KRON WATER RECLAMATION FACILITY,Lake Erie
-106.658889,46.276667,FORSYTH WWTP,YELLOWSTONE RIVER
-73.627517,41.016312,GREENWICH WPCF,GREENWICH HARBOR
-93.571929,38.733958,FORCE SUPPORT SQUADRON FACILITY,Clear Fk.
-77.936387,39.59454,HONEYWOOD HOMEOWNERS ASSOCIATN,POTOMAC RIVER
-79.78776,35.764285,ASHEBORO WWTP,
-93.618331,39.74308,UTICA WASTEWATER TREATMENT FACILITY,Shoal Cr. Ditch
-80.8106,37.3344,NARROWS TOWN - SEWAGE TREATMEN,NEW RIVER
-89.575,38.998333,SORENTO STP,UNNAMED TRIB OF DRY FORK CREEK
-86.3608,32.4028,TOWASSA WASTEWATER PLANT,ALABAMA RIVER
-69.624722,44.487778,VASSALBORO SANITARY DISTRICT EAST,Outlet Stream
-97.609201,43.729095,SPENCER - TOWN OF,Unnamed Trib of Wolf Creek
-104.511201,48.476634,US FISH AND WILDLIFE SVC - MEDICINE LAKE NAT WILDLIFE REFUGE,LAKE CREEK
-89.020692,34.682072,BLUE MOUNTAIN POTW,SOUTH TIPPAH CREEK
