longitude,latitude,name
-86.866667,40.75,Reynolds Municipal Wwtp
-120.69043,46.72448,Naches Potw
-84.767286,42.248216,City Of Albion
-88.175,47.370833,Keweenaw Co-Mt H Greeley Wwsl
-84.945781,36.406181,Jamestown Stp
-89.658624,40.56435,"Pekin Stp #1, City Of"
-98.875722,34.009389,City Of Electra Wwtp
-81.450389,31.389,"Darien, City Of"
-89.851752,35.401473,Pine Grove Mobile Home Park
-88.703833,43.331472,Clyman Wastewater Treatment Fa
-88.74845,44.62333,Clintonville City Wwtf
-75.260456,40.750097,Stockertown Boro Wwtp
-72.619763,41.919039,East Windsor Wpcf
-71.193935,41.676769,Fall River W W T P
-97.33277,27.876969,City Of Portland Wwtf
-90.773028,38.930778,Lcpwsd #1 - Green Acres
-94.19301,40.86227,"Tingley, City-Of-Stp-Sirwa"
-97.590889,35.682083,Ok City Wtr Util Trst-Deer Ck
-123.811083,46.190583,"Astoria, City Of"
-87.953111,43.307583,Grafton Water & Wastewater Ut
-81.33795,41.72302,Gary L Kron Water Reclamation Facility
-106.658889,46.276667,Forsyth Wwtp
-73.627517,41.016312,Greenwich Wpcf
-93.571929,38.733958,Force Support Squadron Facility
-77.936387,39.59454,Honeywood Homeowners Associatn
-79.78776,35.764285,Asheboro Wwtp
-93.618331,39.74308,Utica Wastewater Treatment Facility
-80.8106,37.3344,Narrows Town - Sewage Treatmen
-89.575,38.998333,Sorento Stp
-86.3608,32.4028,Towassa Wastewater Plant
-69.624722,44.487778,Vassalboro Sanitary District East
-97.609201,43.729095,Spencer - Town Of
-104.511201,48.476634,Us Fish And Wildlife Svc - Medicine Lake Nat Wildlife Refuge
-89.020692,34.682072,Blue Mountain Potw
-80.7564,37.3422,Pearisburg Town - Sewage Treat
-79.405889,34.748702,Pilkington North American Wwtp
-101.939722,47.465358,Mandaree Wastewater Treatment Lagoons
-87.46454,41.50069,Schererville Wwtp
-85.337624,35.048809,Chatt.-Moccasin Bend Stp
-74.104639,44.932111,Chateaugay (V) Wwtp
-110.222349,35.825006,Keams Canyon Sewage Lagoon
-117.135865,32.689496,Unknown
-110.674167,35.052778,Winslow Wwtp
-77.144722,39.36,"Pheasant Ridge Mhp,Llc."
-80.5751,28.4701,Patrick Afb
-95.616667,29.708333,Gulf Coast Waste Disposal Auth
-95.000206,29.729394,Unknown
-96.890833,33.068889,Unknown
-87.2619,37.3886,Sacramento Stp
-94.112917,36.464139,"Pea Ridge, City Of"
-87.079306,38.871222,Elnora Wastewater Treatment Plant
-106.0525,39.503611,Iowa Hill Water Reclamation
-88.16671,41.70105,Naperville-Springbrook Wrc
